latitude,longitude,time_bp
-28.1261,120.3017,-300
-27.8325,114.1083,-300
-21.9969,114.0958,-300
-23.1094,113.808,-300
-23.117,113.8,-300
-24.0997,113.4319,-300
-24.1156,113.4331,-300
-24.117,113.433,-300
-24.1192,113.4347,-300
-24.1317,113.4367,-300
-24.135,113.4408,-300
-25.6431,113.5847,-300
-25.72533,113.41336,-300
-25.75,112.95,-300
-25.75258,113.65692,-300
-25.75506,113.65933,-300
-25.7556,113.6583,-300
-25.783,113.667,-300
-25.967,113.1,-300
-25.967,113.1,-300
-25.983,114.283,-300
-25.983,114.283,-300
-26.00364,113.56638,-300
-26.0406,113.8933,-300
-26.16727,113.663,-300
-26.22203,113.69586,-300
-26.22886,113.73486,-300
-26.23372,113.74819,-300
-26.23905,113.76692,-300
-26.2433,113.7828,-300
-26.4,113.3,-300
-26.6,113.683,-300
-26.917,117.7,-300
-27.8422,114.1064,-300
-27.96668,134.16666,-300
-28.0942,115.6589,-300
-28.1169,115.6197,-300
-28.117,115.617,-300
-28.117,120.3,-300
-28.1333,117.1847,-300
-28.28059,122.70653,-300
-28.5,137,-300
-29.017,118.317,-300
-29.367,119.367,-300
-29.3761,119.3719,-300
-29.38954,138.78248,-300
-29.5133,121.6314,-300
-29.517,121.633,-300
-29.6147,118.1147,-300
-29.75001,129.25,-300
-29.817,115.133,-300
-30.0853,115.0914,-300
-30.17411,139.27307,-300
-30.25,131.24999,-300
-30.25889,138.37563,-300
-30.45,131.66666,-300
-30.45,131.66666,-300
-30.45,131.66666,-300
-30.46667,131.66667,-300
-30.483,128.667,-300
-30.48334,128.66666,-300
-30.55,138.41667,-300
-30.55001,130.96666,-300
-30.58334,131.24999,-300
-30.58334,131.24999,-300
-30.58334,131.24999,-300
-30.58334,131.24999,-300
-30.9,121.317,-300
-30.96667,127.06666,-300
-30.96667,139.28333,-300
-31.03333,126.79999,-300
-31.06667,125.33333,-300
-31.06667,128.74999,-300
-31.10499,138.90347,-300
-31.16667,127.95,-300
-31.25,128.48333,-300
-31.4,129.83333,-300
-31.40001,128.58333,-300
-31.43334,127.18333,-300
-31.43334,127.86666,-300
-31.5,129.91666,-300
-31.53334,129.1,-300
-31.56667,127.23333,-300
-31.65,128.48333,-300
-31.65,127.43333,-300
-31.65,127.43333,-300
-31.66667,128.48332,-300
-31.66667,127.23333,-300
-31.68334,127.71666,-300
-31.68334,129.03333,-300
-31.7,128.48333,-300
-31.71667,128.48333,-300
-31.71667,127.23333,-300
-31.75001,127.01666,-300
-31.76667,127.8,-300
-31.76667,127.8,-300
-31.77501,127.79999,-300
-31.83333,127.71666,-300
-31.85001,126.73333,-300
-31.96667,125.91667,-300
-31.96667,127.03332,-300
-31.98334,125.86666,-300
-31.98334,126.49999,-300
-31.98334,127.03333,-300
-32.03334,126.18332,-300
-32.05,126.03333,-300
-32.06667,126.03333,-300
-32.21667,125.88333,-300
-32.45,133.66666,-300
-32.45,133.66666,-300
-32.45,133.66666,-300
-32.45001,133.64999,-300
-32.66667,142.33332,-300
-33.95,141.94999,-300
-33.95,141.94999,-300
-33.95,141.94999,-300
-34.51667,136.26666,-300
-34.2485,142.33463,-94
-30.55,130.966,-29
-30.55,130.966,-29
-30.45,131.683,-29
-30.45,131.683,-29
-32.45,133.666,-28
-30.55,130.966,-27
-30.45,131.683,-29
-30.45,131.683,-29
-30.45,131.683,-29
-32.45,133.666,-28
-30.45,131.666,-29
-30.45,131.683,-29
-30.45,131.683,-29
-32.45,133.67,-27
-34.12,141.92,-93
-34.18,142.15,-93
-34.12,141.92,-93
-34.18,142.15,-93
-34.12,141.92,-93
-34.12,141.92,-93
-28.5,137,-43
-28.5,137,-43
-28.5,137,-43
-28.5,137,-43
-28.5,137,-43
-28.5,137,-43
-28.5,137,-43
-28.5,137,-43
-30.58345,131.25,-26
-33.95012,141.95,-93
-33.95012,141.95,-93
-30.46678,131.66668,-28
-32.66679,142.33333,-106
-30.25011,131.25,-29
-30.58345,131.25,-20
-28.5001,137,-43
-30.58345,131.25,-20
-30.45011,131.66667,-22
-30.58345,131.25,-28
-30.45011,131.66667,-29
-30.55011,130.96667,-29
-33.95012,141.95,-93
-32.45012,133.66666,-28
-32.45012,133.66666,-29
-32.45012,133.66666,-28
-34.098499,141.917962,-93
-30.413406,141.730081,-106
-31.948486,141.467945,-67
-33.948154,141.959047,-93
-33.339714,142.398256,-106
-34.175676,142.23287,-93
